Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),CfD Allocation Round,Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref
04066W3,2570,02/12/2014,Windjen,Mynydd Glyn Lws Wind Farm,Wind Onshore,,,3.60,,,,,,,,,,Planning Permission Refused,Application Refused,,,Mynydd Glyn Lws Betws-yn-Rhos Clwyd,Clwyd,Wales,Wales,,289000,371200,Conwy County Borough Council,,,,,,,27/03/1995,,27/11/2000,,,,,,,,,,,,
0406AW4,2573,29/03/2005,WINDJEN POWER LTD,Mynydd Llanelian Wind Farm,Wind Onshore,,,6.50,,,,,,,,,,Planning Permission Refused,Application Refused,,,"5 km South of Colwyn Bay, Conwy",Clwyd,Wales,Wales,,284500,374500,Conwy County Borough Council,,,,,,,02/02/2001,,15/06/2001,,,,,,,,,,,,
04076W3,2574,10/02/2003,Mersey Docks and Harbour Company and Windcluster Limited,Royal Seaforth Dock Wind Farm,Wind Onshore,,,3.00,,,,,,0.50,6,,,Operational,Operational,,,"Royal Seaforth Dock Port of Liverpool Bootle, Sefton Merseyside",Merseyside,North West,England,,331100,397000,Sefton Council,,,,,,,12/10/1995,,22/08/1997,,,,,,,,,,,24/04/1999,
04079W4,2576,14/09/2010,Vestas,Cemmaes 'C' Wind Farm,Wind Onshore,,,15.30,,,,,,0.85,18,,,Operational,Operational,,,"Cemmaes
Machynlleth
Powys",Powys,Wales,Wales,,286800,306000,Powys County Council,M/2000/0846,,,,,,15/10/2000,,,,,,,06/04/2001,,,,,,23/02/2002,
04087W4,2578,13/04/2005,South Western Power / Renewable Energy Systems (RES) / NOVERA,Prysan Wind Farm,Wind Onshore,,,9.90,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Prysan Farm, Rhuddlan, Bach, Llanddyfnan, Anglesey",Gwynedd,Wales,Wales,,249000,380000,Isle of Anglesey County Council,,,,,,,18/12/1995,,06/08/1996,,,,,,,,,,,,
04103W3,2579,10/03/2003,RWE npower,Mynydd Yr Hendre Wind Farm,Wind Onshore,,,29.10,,,,,,,,,,Planning Permission Refused,Application Refused,,,Mynydd Yr Hendre Cefn Coch Newton Powys,Powys,Wales,Wales,,299200,301500,Powys County Council,,,,,,,01/02/1999,,23/05/2002,,,,,,,,,,,,
04104W3,2580,10/05/2002,MANWEB Generation Holdings/ National Windpower,Llyn Alwen Wind Farm,Wind Onshore,,,19.30,,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Llyn Alwen
Pentrefoelas
Clwyd",Clwyd,Wales,Wales,,290400,356500,Conwy County Borough Council,,,,,,,,10/05/2002,,,,,,,,,,,,,
04105W3,2581,13/03/2003,MANWEB Generation Holdings Ltd/ National Windpower,Moel Rhiwlug Wind Farm,Wind Onshore,,,19.20,,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,Moel Rhiwlug Pentrefoelas Clwyd,Clwyd,Wales,Wales,,288200,355300,Conwy County Borough Council,,,,,,,,13/03/2003,,,,,,,,,,,,,
04107W3,2582,04/06/2005,MANWEB Generation Holdings,Llanbabo Wind Farm,Wind Onshore,,,20.40,,,,,,2.25,9,,,Operational,Operational,,,"Llanbabo Wind Farm
Land tp the north of Llyn Alaw
Isle of Anglesey
Gwynedd",Gwynedd,Wales,Wales,,236000,387000,Isle of Anglesey County Council,,,,,,,05/08/1994,,,,,,,19/12/1996,,,,,,01/10/1997,
05007W5,2584,05/02/2004,Ecotricity,Windmill Hill,Wind Onshore,,,1.50,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Tinkley Lane, Stonehouse, Gloucestershire",Gloucestershire,South West,England,,381900,200500,Stroud District Council,,,,,,,06/10/2000,,08/05/2001,,,,,,,,,,,,
06014W5,2586,18/01/2002,RWE npower,Tow Law Wind Farm,Wind Onshore,,,2.60,,,,,,0.90,3,,,Operational,Operational,,,"Tow Law, Crook, County Durham",County Durham,North East,England,,411500,541000,Durham County Council,,,,,,,27/07/1999,,,,,,,07/06/2000,,,,,,30/12/2001,
06015W4,2587,10/06/2009,Border Wind Farms Ltd /AMEC,Kirkheaton Wind Farm,Wind Onshore,,,1.80,,,,,,0.60,3,,,Operational,Operational,,,"West Farm, Kirkheaton, Northumberland",Northumberland,North East,England,,400800,576900,Northumberland County Council,,,,,,,04/11/1997,,21/01/1999,,,,21/01/1999,21/01/1999,,,,,,22/05/2000,
06015W5,2588,06/12/2010,Your Energy,Moorsyde Wind Farm,Wind Onshore,,,16.10,,,,,,3.00,7,,,Appeal Refused,Application Refused,,,"Near Chillingham, Northumberland",Northumberland,North East,England,,394000,645000,Northumberland County Council,04/B/1107,,,,,,13/01/2005,,27/03/2008,,,19/10/2008,,,,,,,,,
06019W3,2591,07/10/2009,Border Windfarm Limited / AMEC,Great Eppleton Wind Farm,Wind Onshore,,,3.00,,,,,,0.75,4,,,Operational,Operational,,,"Great Eppleton Farm
North Lane
Hetton le Hole
Tyne and Wear",Tyne and Wear,North East,England,,436900,548200,Sunderland City Council,,,,,,,02/08/1995,,,,,,,25/07/1996,,,,,,01/04/1997,
06046W3,2599,30/10/2011,National Windpower,High Moor Wind Farm,Wind Onshore,,,14.70,,,,,,,,,,Planning Permission Refused,Application Refused,,,"High Moor
Barningham
Durham",County Durham,North East,England,,404300,507500,Durham County Council,,,,,,,26/04/1996,,12/11/1998,,,,,,,,,,,,
06068W5,2600,10/06/2009,ANGOLD ASSOCIATES,Moneylaws Hill,Wind Onshore,,,11.20,,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Nr Coldstream, Northumberland",Northumberland,North East,England,,387300,634700,Northumberland County Council,,,,,,,,10/06/2009,,,,,,,,,,,,,
07006W3,2602,30/10/2011,Micon Wind Turbines,Lowick Beacon Windfarm,Wind Onshore,,,1.20,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Lowick Beacon
Lowick Green
near Ulverston
Cumbria",Cumbria,North West,England,,328600,484000,South Lakeland District Council,5951340,,,,,,19/06/1995,,06/10/1997,,,,,,,,,,,,
07032W4,2605,30/10/2011,Colham Energy Ltd,Firbank Wind Farm,Wind Onshore,,,9.70,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Firbank Fell
Nr Lambrigg
Cumbria",Cumbria,North West,England,,360800,494000,South Lakeland District Council,,,,,,,25/09/1998,,08/12/1998,,,,,,,,,,,,
07035W4,2606,20/12/2009,Renewable Development Company Ltd,Whinash Wind Farm,Wind Onshore,,,67.50,,,,,,2.50,27,,,Planning Permission Refused,Application Refused,,,"Bretherdale, Tebay, Cumbria",Cumbria,North West,England,,357100,503800,DECC (S36),,,,,,,29/09/2003,,02/03/2006,,,,,,,,,,,,
07037W5,2609,08/10/2013,S B ENERGY LTD,Reaps Moss Wind Farm,Wind Onshore,,,9.00,,,,,,1.00,9,,,Revised,Revised,4655,,"Off A681, Bacup, ",Lancashire,North West,England,,389000,422800,Rossendale Borough Council,,,,,,,01/06/1999,,21/02/2000,,,,,,,,,,,,
07046W3,2613,30/10/2011,Great Orton Wind Farms (II) Ltd,Great Orton Wind Farm (Extension),Wind Onshore,,,2.30,,,,,,0.40,6,,,Operational,Operational,,,"Great Orton Airfield, near Wiggonby, Carlisle, Cumbria",Cumbria,North West,England,,331300,553400,Allerdale Borough Council,,,,,,,26/02/1998,,,,,,,23/06/1998,,,,,,01/02/2000,
07056W3,2617,01/08/2016,The Wind Company,Harlock Hill Wind Farm,Wind Onshore,,,2.50,,,,,,0.50,5,,,Operational,Operational,,,"Harlock Hill Wind Farm
, Pennington
, Near Ulverston
, Cumbria",Cumbria,North West,England,LA12 0,325300,479400,South Lakeland District Council,,,,,,,03/02/1995,,,,,,,03/05/1996,,,,,,01/01/1997,
07060W4,2618,06/05/2009,Wharrels Hill Windfarm Ltd/ National Windpower,Wharrels Hill Wind Farm,Wind Onshore,,,10.40,,,,,,1.30,8,,,Operational,Operational,,,"Wharrels Hill
Bothel
Cumbria",Cumbria,North West,England,,318000,537200,Allerdale Borough Council,2/2001/0008,APP/G0908/A/01/1075972,,,,,23/12/2000,,19/06/2002,,,,,,,,,,01/04/2007,07/08/2007,
07071W4,2619,02/09/2004,Wind Turbine Developments Ltd,Warcock Hill Project,Wind Onshore,,,1.00,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Coal Clough Wind Farm
, Cliviger
, Burnley",Lancashire,North West,England,,389500,428500,Burnley Borough Council,,,,,,,24/01/2000,,25/05/2000,,,,,,,,,,,,
07086W3,2620,30/10/2011,RWE npower,Gunson Height Wind Farm,Wind Onshore,,,7.80,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Gunson Height
Kirkby Moor
Kirkby Ireleth
Cumbria",Cumbria,North West,England,,325700,482200,South Lakeland District Council,,,,,,,05/01/1996,,06/10/1997,,,,,,,,,,,,
07124W3,2624,30/10/2011,Windprospect / Windcluster,Siddick Wind Farm,Wind Onshore,,,4.20,,,,,,0.60,7,,,Operational,Operational,,,Siddick Wind Farm Siddick Workington Cumbria,Cumbria,North West,England,,300600,532100,Allerdale Borough Council,,,,,,,21/04/1995,,,,,,,11/12/1995,,,,,,01/08/1996,
07125W3,2625,11/04/2011,Windprospect / Windcluster,Oldside Wind Farm,Wind Onshore,,,5.40,,,,,,0.60,9,,,Operational,Operational,,,"Oldside Wind Farm
Workington
Cumbria",Cumbria,North West,England,,299700,530500,Allerdale Borough Council,,,,,,,31/10/1995,,,,,,,10/01/1996,,,,,,01/09/1996,
07129W3,2626,11/04/2011,The Wind Company,Haverigg Extension Wind Farm,Wind Onshore,,,2.40,,,,,,0.60,4,,,Operational,Operational,,,"Kirksanton Airfield
Part of Hemplands Farm
Haverigg
Millom
Cumbria",Cumbria,North West,England,,313700,479500,Copeland Borough Council,4/91/0463/0,,,,,,29/05/1991,,,,,,,08/08/1991,,,,,,01/07/1998,
09053W5,2628,30/10/2011,PERTWOOD PARTNERS,Summerslade Down Wind Cluster,Wind Onshore,,,2.20,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Warminster, Wiltshire",Wiltshire,South West,England,,387630,137910,Wiltshire Council,,,,,,,14/10/1998,,17/05/1999,,,,,,,,,,,,
10004W4,2629,14/04/2005,NOVERA / Renewable Energy Systems (RES),Corston Windfarm,Wind Onshore,,,7.90,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Corston Windfarm, Castlemartin, Pembrokeshire",Dyfed,Wales,Wales,,193000,199500,Pembrokeshire County Council,,,,,,,05/10/1995,,05/03/1996,,,,,,,,,,,,
10009W4,2630,26/08/2004,WINDJEN POWER LTD,Blaen Bowi Wind Farm,Wind Onshore,,,3.90,,,,,,1.30,3,,,Operational,Operational,,,"Moelfre Capel Iwan Dyfed, Carmarthenshire",Dyfed,Wales,Wales,,232500,236000,Carmarthenshire County Council,W03608,,,,,,27/06/2000,,,,,,,04/01/2001,,,,,,30/07/2002,
10010W5,2631,08/10/2013,AMEC,Ogmore & Garw,Wind Onshore,,,12.00,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Nant Y Moel, Bridgend, Mid Glamorgan",Mid Glamorgan,Wales,Wales,,291400,194500,Bridgend County Borough Council,P/01/887,,,,,,28/09/2001,,13/03/2002,,,,,,,,,,,,
10011W4,2632,29/03/2005,WINDJEN POWER LTD,Llethercynnon Farm Wind Farm,Wind Onshore,,,7.10,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Nr Garthbrengy, Powys",Powys,Wales,Wales,,305300,236100,Powys County Council,B/01/0111,,,,,,18/04/2000,,22/01/2003,,,,,,,,,,,,
10011W5,2633,31/08/2010,AMEC,Werfa,Wind Onshore,,,47.50,,,,,,2.50,19,,,Appeal Refused,Application Refused,,,"Nant Y Moel, Bridgend, Mid Glamorgan",Mid Glamorgan,Wales,Wales,,292300,194500,Bridgend County Borough Council,P/01/887/FUL,,,,,,28/09/2001,,13/03/2002,,,25/08/2004,,,,,,,,,
10019W3,2636,30/10/2011,Micon Wind Turbines (UK) Limited,Parc-Cynog Wind Farm,Wind Onshore,,,3.60,,,,,,0.70,5,,,Operational,Operational,,,"Parc-Cynog Farm
Pendine
Carmarthenshire",Dyfed,Wales,Wales,,225500,209500,Carmarthenshire County Council,,,,,,,05/05/1998,,01/02/2000,,,,,,,,,,,01/02/2001,
10050W5,2638,29/10/2001,THREE WAY WIND LTD/ TXU Europower Ltd,Rhoscrowther Wind Cluster,Wind Onshore,,,2.20,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Angle, Pembroke, Dyfed",Dyfed,Wales,Wales,,191300,200500,Pembrokeshire County Council,,,,,,,30/11/1999,,12/04/2001,,,,,,,,,,,,
10095W3,2640,04/07/2001,RWE npower,Jordanston Wind Farm,Wind Onshore,,,9.80,,,,,,,,,,Planning Permission Refused,Application Refused,,,Land at Jordanston south of Fishguard Dyfed,Dyfed,Wales,Wales,,192300,232800,Pembrokeshire County Council,97/520,,,,,,30/09/1997,,01/09/2001,,,,,,,,,,,,
10099W3,2641,14/04/2005,RWE npower,Trenewydd Wind Farm,Wind Onshore,,,6.30,,,,,,,,,,Planning Permission Refused,Application Refused,,,Mynydd Trenewydd near Fishguard Dyfed,Dyfed,Wales,Wales,,200700,232500,Pembrokeshire County Council,,,,,,,01/02/1999,,01/10/1999,,,,,,,,,,,,
10148W3,2642,26/06/2002,South Wales Power / SWALEC,Gelligaer 'A' Wind Farm,Wind Onshore,,,9.80,,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Gelligaer 'A' Wind Farm
Mynydd Fochriw
Fochriw
Mid Glamorgan",Mid Glamorgan,Wales,Wales,,310000,203500,Merthyr Tydfil County Borough Council,P/99/0295,,,,,,,26/06/2002,,,,,,,,,,,,,
10149W3,2643,14/04/2005,South Wales Power / SWALEC / National Windpower,Cilciffeth 'A' Wind Farm,Wind Onshore,,,7.80,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Mynydd Cilciffeth
near Fishguard
Dyfed",Dyfed,Wales,Wales,,200700,232500,Pembrokeshire County Council,,,,,,,01/02/1999,,01/10/1999,,,,,,,,,,,,
10156W3,2645,26/06/2002,South Wales Power / SWALEC,Gelligaer 'B' Wind Farm,Wind Onshore,,,9.80,,,,,,,,,,Planning Application Withdrawn,Application Withdrawn,,,"Gelligaer B Wind Farm
Mynydd Fochriw
Fochriw
Mid Glamorgan",Mid Glamorgan,Wales,Wales,,310000,203500,Merthyr Tydfil County Borough Council,T/99/0295,,,,,,,26/06/2002,,,,,,,,,,,,,
10157W3,2646,14/04/2005,South Wales Power / SWALEC / National Windpower,Cilciffeth 'B' Wind Farm,Wind Onshore,,,7.80,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Mynydd Cilciffeth
near Fishguard
Dyfed",Dyfed,Wales,Wales,,201000,232500,Pembrokeshire County Council,,,,,,,01/02/1999,,01/10/1999,,,,,,,,,,,,
11001W4,2648,16/02/2005,Worthyvale Manor Partnership,Worthy Vale Manor,Wind Onshore,,,10.10,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Worthyvale Manor
Camelford
Cornwall",Cornwall,South West,England,,211000,87500,Cornwall Council,,,,,,,08/11/1993,,28/06/1996,,,,,,,,,,,,
11008W3,2649,16/02/2005,RWE npower,Davidstow Wind Farm,Wind Onshore,,,7.80,,,,,,,,,,Revised,Revised,3472,,Davidstow Trewinnow Farm Trevivian Davidstow,Cornwall,South West,England,,216000,85000,Cornwall Council,,,,,,,,16/02/2005,,,,,,,,,,,,,
11008W4,2650,16/02/2005,Otterham Wind Farm Ltd - Powergen Renewables,Otterham Down Wind Farm,Wind Onshore,,,7.40,,,,,,,5,,,Revised,Revised,3941,,"Rose Park Farm, Otterham Down, Camelford,",Cornwall,South West,England,,215700,90500,Cornwall Council,2002/0998,,,,,,20/05/2002,,21/01/2003,,,,,,,,,,,,
11021W3,2653,03/03/2010,John Laing Environmental Assets Group ,Moel Maelogen A,Wind Onshore,,,2.60,,,,,,1.30,2,,,Operational,Operational,,,"Moel Maelogen
Nr Llanrwst
Conwy
Gwynedd",Gwynedd,Wales,Wales,,284700,361300,Conwy County Borough Council,,,,,,,20/08/1999,,,,,,,15/12/1999,,,,,,30/01/2003,
11030W5,2654,14/03/2003,THE OLD RACECOURSE WINDFARM LTD,The Old Racecourse,Wind Onshore,,,2.20,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Bratton Fleming, North Devon",Devon,South West,England,,266200,137700,North Devon District Council,29679,,,,,,01/08/2000,,18/12/2001,,,,,,,,,,,,
11049W5,2655,14/03/2003,Farm Energy,Hore Down Windfarm,Wind Onshore,,,2.20,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Ilfracombe, North Devon",Devon,South West,England,,252600,143600,North Devon District Council,29678,,,,,,01/08/2000,,19/12/2001,,,,,,,,,,,,
12013W4,2659,22/04/2009,Powergen Renewables Developments Ltd,Out Newton Wind Farm,Wind Onshore,,,9.00,,,,,,1.30,7,,,Operational,Operational,,,"Southfield Farms
Hull",Humberside,Yorkshire and Humber,England,,538800,421200,East Riding of Yorkshire Council,341/10033,,,,,,04/11/1998,,11/09/2000,,,,,,,,,,,31/01/2002,
12041W4,2662,05/08/2005,Renewable Energy Systems (RES),Eastfield Farm Wind Farm,Wind Onshore,,,11.40,,,,,,,,,,Planning Permission Refused,Application Refused,,,Hollym Holderness,Humberside,Yorkshire and Humber,England,,534500,424000,East Riding of Yorkshire Council,347/10029A,,,,,,08/09/1998,,11/09/2000,,,,,,,,,,,,
12042W4,2663,08/12/2004,Eastern Wind Farms Ltd/ RES,Great Hill Wind Farm,Wind Onshore,,,10.10,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Littleborough
Rochdale",Greater Manchester,North West,England,,393500,416500,Rochdale Borough Council,,,,,,,02/06/1999,,22/03/2000,,,,,,,,,,,,
12043W4,2664,08/10/2013,Renewable Energy Systems (RES),Hogshead Wind Farm,Wind Onshore,,,7.10,,,,,,,,,,Planning Permission Refused,Application Refused,,,"Bacup
Lancashire",Lancashire,North West,England,,389200,422200,Rossendale Borough Council,,,,,,,01/06/1999,,21/02/2000,,,,,,,,,,,,
12057W3,2667,30/10/2011,Hepworth Building Products Limited,Hepworth Clay Pipeworks Wind Farm,Wind Onshore,,,3.40,,,,,,,3,,,Planning Permission Refused,Application Refused,,,"Hepworth Clay Pipeworks
Land off Flint Lane
Crow Edge, Stocksbridge
South Yorkshire",South Yorkshire,Yorkshire and Humber,England,,418500,404500,Barnsley Metropolitan Borough Council,,,,,,,01/07/1994,,03/12/1996,,,,,,,,,,,,
A0008,2668,04/07/2012,Private Developer,Pentre Tump,Wind Onshore,,,9.20,,,,,,3.07,3,,,Revised,Revised,3866,,"Radnor, Presteigne, ",Powys,Wales,Wales,,319500,257500,Powys County Council,RAD/2002/0397,,,,,,11/09/2002,,17/02/2010,,,,,,,,,,,,
A0011,2670,07/02/2011,Bolsterstone Plc,Newlands Farm Wind,Wind Onshore,,,6.90,,,,,,2.30,3,,,Appeal Refused,Application Refused,,,"Carelton, Carlisle, Cumbria. CA4 0AE",Cumbria,North West,England,,343894,552176,Carlisle City Council,08/0707,APP/E0915/A/09/2101659,,,,,10/07/2008,,13/10/2008,,,15/03/2010,,,,,,,,,
A0012,2671,18/05/2012,Ventient (formerly Infinis),Burnhead Wind Farm,Wind Onshore,,,47.50,,,,,,2.00,19,,,Revised,Revised,3839,,"Dalmellington, Charlmerston, Ayr, ",Strathclyde,Scotland,Scotland,,246766,606923,East Ayrshire Council,09/0180/FL,,,,,,30/03/2009,19/04/2012,,,,,,,,,,,,,
A0016,2672,03/06/2013,Brockholes Farm,Brockholes Wind Cluster,Wind Onshore,,,2.40,,,,,,0.80,3,,,Operational,Operational,,,"Brockholes Farm, Grantshouse, Duns, Borders. TD11 3RL",Borders,Scotland,Scotland,,382080,663751,Scottish Borders Council,09/00516/FUL,,,,,,14/04/2009,,,,,,,10/05/2010,,,,,28/02/2012,18/02/2013,
A0027,2673,17/10/2011,Falck Renewables,Kilbraur Windfarm Farlary - Extension,Wind Onshore,,,20.00,,,,,,2.50,8,,,Operational,Operational,,,"Dunrobin Glen, Golspie, The Highlands. KW10 6SE",Highland,Scotland,Scotland,,283124,902064,Scottish Government (S36),09/00111/S36SU,,,,,,13/03/2009,,,,,,,01/12/2009,,,,,01/12/2010,01/09/2011,
A0028,2674,25/10/2011,Pennant Wind Energy Ventures,Maesgwyn,Wind Onshore,,,26.00,,,,,,2.00,13,,,Operational,Operational,,,"Maesgwyn, Glynneath, Neath, West Glamorgan. SA11",West Glamorgan,Wales,Wales,,285500,205500,Neath Port Talbot Council,P/2006/1261,,,,,,01/10/2006,,,,,,,05/05/2009,,,,,01/07/2010,14/04/2011,
A0034,2677,06/01/2012,Private Developer,Floods Ferry Farm,Wind Onshore,,,18.00,,,,,,2.00,9,,,Appeal Refused,Application Refused,,,"Land North Of Floods Ferry Farm
Floods Ferry Road
March
Cambridgeshire PE15 0UW",Cambridgeshire,Eastern,England,,535656,293166,Fenland District Council,F/YR09/0272/F,10/00032/REF,,,,,17/04/2009,,04/01/2010,,,06/07/2011,,,,,,,,,
