,user_screen_name,username,timestamp,text,sentiment,embedded_text,emojis,comments,likes,retweets,image_link,tweet_url
8921,James Melville,@JamesMelville,2022-07-18T18:35:37.000Z,"James Melville
@JamesMelville
·
Jul 18",2,prince charles says tackling climate change utterly essentialdue to ‘alarmingtemperatures the royal family have flown over  air miles over the last  years prince charles has flown the most  with  trips covering  air miles at a cost of more than £ m   k,,1070,3808,10000,['https://pbs.twimg.com/media/FX-Cx3HWAAAjjCB?format=jpg&name=small'],https://twitter.com/JamesMelville/status/1549100595730055168
3338,Keith Jackson AM FRSA FAIM,@PNGAttitude,2022-04-01T22:03:15.000Z,"Keith Jackson AM FRSA FAIM
@PNGAttitude
·
Apr 2",1,"australia is wrecking its links with   ""our pacific family"" who are tiring of our antics especially on climate change i look at our latest faux drama mischaracterising an aid deal between china  the solomons as establishing a military basepngattitude com china  the solomons just how smart is australia keith jackson manasseh sogavare and xi jinping  security deal caused an australian meltdown noosa – in late october  then united statessecretary of state hillary clinton was in honolulu ",,0,19,25,['https://pbs.twimg.com/card_img/1549180359492919299/sRplyYZb?format=jpg&name=small'],https://twitter.com/PNGAttitude/status/1510014960503758848
5288,Guardian news,@guardiannews,2022-05-15T20:42:09.000Z,"Guardian news
@guardiannews
·
May 15",2,fires floods and food security how climate change became a local issue this election theguardian com fires floods and food security how climate change became a local issue this election the climate crisis is at the forefront of guardian australia readersconcerns and we put their questions to local candidates   ,,2,6,8,['https://pbs.twimg.com/card_img/1548858617515970561/8SB1TePp?format=jpg&name=small'],https://twitter.com/guardiannews/status/1525939615143714818
5216,Reuters,@Reuters,2022-05-14T23:44:00.000Z,"Reuters
@Reuters
·
May 15",2,watch a mobile veterinary clinic aims to support the indigenous marsh arabs in iraq who rely on water buffaloes for survival the buffaloes are threatened by polluted water and climate change   ,,2,20,88,['https://pbs.twimg.com/amplify_video_thumb/1525587322842284032/img/zshPi6SbWnGxPcwI.jpg'],https://twitter.com/Reuters/status/1525622990523641857
1365,Climate & Capital Media,@ClimateandCap,2022-02-17T22:35:47.000Z,"Climate & Capital Media
@ClimateandCap
·
Feb 17",1,exclusive no    it will not cost  tn a year to solve  change  rept vastly underestimates growth of   deployment  overestimates the cost of  by   s karl burkart        …   ,,1,5,13,['https://pbs.twimg.com/media/FL1ROV1VgAAHiPY?format=jpg&name=small'],https://twitter.com/ClimateandCap/status/1494440466338627590
1793,Dave Peterson (He/Him) Ⓥ,@FedUpWithBadAir,2022-02-26T22:43:02.000Z,"Dave Peterson (He/Him) Ⓥ
@FedUpWithBadAir
·
Feb 26",1,"replying to    and   ""the mary river is at levels not seen for decades""  expect more of it due to climate change which the current australian government seems uninterested in addressing be safe everyone ",,0,5,16,,https://twitter.com/FedUpWithBadAir/status/1497703782922158080
4643,Brendon O'Connor,@BrendonOConnor8,2022-04-30T22:10:23.000Z,"Brendon O'Connor
@BrendonOConnor8
·
May 1",1,replying to      and  others  reasons why frydenburg and the lnp must lose as though our lives depend upon it  debt  theft and fraud of taxes  climate change many live will be lost due to the effects of no money left for healthcare and mitigating the effects of damaging climate change ,,0,5,22,,https://twitter.com/BrendonOConnor8/status/1520526000433426433
8058,Madeleine Cuff,@MadeleineCuff,2022-07-12T17:08:50.000Z,"Madeleine Cuff
@MadeleineCuff
·
Jul 12",1,perhaps more worryingly theres a chance the uk could breach its record for the hottest night time temperature  currently  c set in london a reminder of why tropical nightsare so dangerous inews co uk climate change will make summers too hot to enjoy with britain sweating through sticky nights  saw record number of ‘tropical nightsin the uk as europe logged its hottest year on record scientists confirm   ,,21,82,113,['https://pbs.twimg.com/card_img/1549441381726392320/dMIUrXQX?format=jpg&name=small'],https://twitter.com/MadeleineCuff/status/1546904429668044802
955,DonKeiller,@KeillerDon,2022-02-08T22:46:40.000Z,"DonKeiller
@KeillerDon
·
Feb 8",-1,i hope that the drivers and profiteers from the climate change/“renewables” scam are arrested charged and do time for fraud that includes climate “scientists” and government ministers quote tweet minnie  the roaring mouse   · feb  replying to  i do believe that within  years all this climate change rubbish will be debunked it is just a massive shame that we will have wasted so much money on it i hope the activists will hold their heads in shame ,,2,5,19,['https://pbs.twimg.com/profile_images/1444935697731923969/TDqB7eoE_normal.jpg'],https://twitter.com/KeillerDon/status/1491181714382942210
2518,Rob Manuel,@robmanuel,2022-03-14T22:01:50.000Z,"Rob Manuel
@robmanuel
·
Mar 14",0,"""hi are you not doom scrolling today have you considered looking up hashtags on [climate change/pandemics/war/brexit] ""  ""remember to clench your teeth""  ""its time to hunch forward and read about inter factional war between the different elements of labour for  hours""  ",🧻,3,0,29,,https://twitter.com/robmanuel/status/1503491620360134659
5116,danmcd,@DanielMcDonald4,2022-05-11T21:51:34.000Z,"danmcd
@DanielMcDonald4
·
May 11",1,replying to   truth climate change has costs the  wildfire in fort mcmurray caused  billion in insured damages how about crop failures water shortages fact climate change will be ruinous if we dont shift to a low carbon economy ,💚,0,0,4,,https://twitter.com/DanielMcDonald4/status/1524507531275501569
6808,Jordan,@JordanSprings8,2022-06-18T21:50:50.000Z,"Jordan
@JordanSprings8
·
Jun 18",1,replying to    and   maria i tweeted eddie lloyds tweet as a response to albos climate change tweet quote tweet jordan   · jun  replying to  and  pm please stop deforestation from developers and logging companies that worsens climate change it kills koalas and other wildlife lismore ‘s koalas have suffered from floods and now deforestation  s= t=pagcczqazwtjsfvt_q…   ,,1,4,5,['https://pbs.twimg.com/profile_images/1165401151400861696/tI7BcL6U_normal.jpg'],https://twitter.com/JordanSprings8/status/1538278087955054592
2736,TRUE SAY,@TRUESAY14,2022-03-19T21:05:51.000Z,"TRUE SAY
@TRUESAY14
·
Mar 19",1,replying to      and  others climate change is real its connectedall of us it effects everyone every gender every heart every soul every living thing why study for a future that isnt clear no wifimorrow ma ignorance the kind of thinking that got us all into this terrible mess ,,1,3,5,['https://pbs.twimg.com/media/FOPczEMXwAgDG2b?format=jpg&name=900x900'],https://twitter.com/TRUESAY14/status/1505289471947907075
8157,Cristina Rumbaitis,@cristina_rdr,2022-07-12T14:15:51.000Z,"Cristina Rumbaitis
@cristina_rdr
·
Jul 12",0,ill be speaking at   s fintech for resilience summit  in london on  july emerging market leaders are gathering to explore financial health climate change and inclusive digital economies register here bfaglobal com catalyst fund | fintech for resilience summit exploring key themes that are fundamental to improving the resilience of vulnerable and underserved communities worldwide such as inclusive fintech climate change and digital commerce ,,0,0,1,['https://pbs.twimg.com/card_img/1547713983490101248/P8Hep35F?format=jpg&name=small'],https://twitter.com/cristina_rdr/status/1546860894952497156
6994,Dustbinofhistory,@trashbag32,2022-06-22T22:51:23.000Z,"Dustbinofhistory
@trashbag32
·
Jun 23",1,replying to      and   if    cared about the lobster trade shed do more about fighting climate change ,,1,0,55,,https://twitter.com/trashbag32/status/1539742877269516289
8908,GrumpyEd,@SaintEd61,2022-07-18T23:11:04.000Z,"GrumpyEd
@SaintEd61
·
Jul 19",-1,there was no mention of global warming/climate change back then  its all a scam ,🐴 🤔,27,247,428,['https://pbs.twimg.com/media/FX_B0zrUsAIh1Df?format=jpg&name=small'],https://twitter.com/SaintEd61/status/1549169915289948160
4620,Elizabeth Warren,@ewarren,2022-04-30T22:07:13.000Z,"Elizabeth Warren
@ewarren
·
May 1",1,we had a great meet and greet in chatham today we talked about canceling student debt improving transportation infrastructure across the cape tackling climate change and protecting cape cod bay from nuclear waste alt alt alt   ,,211,150,994,"['https://pbs.twimg.com/media/FRn7tycWQAALctc?format=jpg&name=small', 'https://pbs.twimg.com/media/FRn8HZaXEAEOsFr?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FRn8LLyXEAYc5O-?format=jpg&name=360x360']",https://twitter.com/ewarren/status/1520525206808367105
1972,David Limbaugh,@DavidLimbaugh,2022-03-03T23:12:53.000Z,"David Limbaugh
@DavidLimbaugh
·
Mar 4",1,how do democrats have any credibility at all on “climate change ” when they promote foreign production of oil while banning ours if catastrophic manmade climate change is true (which i dispute) it is a global matter we dont live in a closed atmospheric system such a farce  ,,55,347,1379,,https://twitter.com/DavidLimbaugh/status/1499523236354265090
7379,m,@roger_mm1,2022-07-01T22:12:18.000Z,"m
@roger_mm1
·
Jul 2",-1,climate is due to changes in earths solar orbit not carbon dioxide nasa said  yrs ago reports are finally coming to light that human co emissions do not cause climate change most have been hidden from view by msm  big tech now they are emerging quote tweet peter clack   · jul  climate is due to changes in earths solar orbit not carbon dioxide nasa said  yrs ago reports are finally coming to light that human co emissions do not cause climate change most have been hidden from view by msm  big tech now they are emerging  nasa admits climate change occurs because of changes in earths solar orbit not because of suvs and fossil fuels…   ,,3,26,71,['https://pbs.twimg.com/profile_images/1545329199409676288/n7ua75e__normal.jpg'],https://twitter.com/roger_mm1/status/1542994530508898304
2193,GO GREEN,@ECOWARRIORSS,2022-03-07T22:48:30.000Z,"GO GREEN
@ECOWARRIORSS
·
Mar 7",1,is  amazon rainforest on verge of collapse amazon has existed as a dense and humid rainforest teeming with life for at least  million years but not much as  change and bolsonara destroy earth most vital ecosystem which we all need to survive theconversation com is the amazon rainforest on the verge of collapse new research suggests % of the rainforest has become less resilient to stress since the early s ,,0,6,7,['https://pbs.twimg.com/card_img/1549744776794226689/5hzxAEEy?format=jpg&name=small'],https://twitter.com/ECOWARRIORSS/status/1500966651252125709
5821,JETRO USA,@JETROUSA,2022-05-27T21:15:05.000Z,"JETRO USA
@JETROUSA
·
May 27",2,explore the future of  on / jetro  will host a webinar to celebrate the expansion of our  business platform  learn how smart city tech can help solve issues like aging population  climate change  bridge us nd event smart cities html…  ,,0,5,14,['https://pbs.twimg.com/media/FTyzmPZUAAA3y0F?format=jpg&name=small'],https://twitter.com/JETROUSA/status/1530296558763114496
143,Ian Marshall OBE,@IanMarshall_,2022-01-20T21:57:34.000Z,"Ian Marshall OBE
@IanMarshall_
·
Jan 20",2,good constructive discussion ⁦  ⁩ on future agricultural policy in omagh focusing on resilience sustainability environment profitability climate change investment knowledge transfer and the next generation ⁦  ⁩ ⁦  ⁩   ,,2,7,24,['https://pbs.twimg.com/media/FJk8ZslWQAAIqJJ?format=jpg&name=small'],https://twitter.com/IanMarshall_/status/1484283991582724100
655,350 Silicon Valley,@350sv,2022-02-01T22:52:06.000Z,"350 Silicon Valley
@350sv
·
Feb 1",1,palo alto residents sign our petition to the city council by tonight to underscore the necessity of keeping climate change mitigation as a top priority for  docs google com palo alto climate priorities petition february  dear mayor burt and city council members after a brief reprieve in  us greenhouse gas emissions rose by over  percent in  as a council that has made climate protection a ,🚨 🚨,0,3,4,['https://pbs.twimg.com/card_img/1549018896144814081/15SW8_Iu?format=jpg&name=360x360'],https://twitter.com/350sv/status/1488646366695804930
1798,Canadian Geographic,@CanGeo,2022-02-26T19:47:00.000Z,"Canadian Geographic
@CanGeo
·
Feb 26",2,how indigenous conservationists are tracking the impact of climate change on the boreal soundscape by canadiangeographic ca vanishing birdsong how climate change is altering canadas soundscape indigenous conservationists are listening in to track the impacts of climate change on the boreal forest  ,,0,3,5,['https://pbs.twimg.com/card_img/1548079841693483008/pAFN6Rxf?format=jpg&name=240x240'],https://twitter.com/CanGeo/status/1497659481735540748
1994,Dr. Alex McInturf,@DrSurfNTurf,2022-03-03T23:42:43.000Z,"Dr. Alex McInturf
@DrSurfNTurf
·
Mar 4",2,awesome seminar by the one and only    on climate change effects on fisheries species learning about how ocean acidification can impact fishes today ,,2,1,12,['https://pbs.twimg.com/media/FM9nQu6VkAA2NFp?format=jpg&name=small'],https://twitter.com/DrSurfNTurf/status/1499530741863960585
8887,Derek Robinson,@DerekRobinson2,2022-07-17T10:23:24.000Z,"Derek Robinson
@DerekRobinson2
·
Jul 17",1,action on climate change is paramount how much seems to be an argument and damn well shouldnt be lets at least make a start earth org  interesting facts about climate change | earth org here is a short list of some of the most interesting climate change facts i find most people arent aware of  enjoy and share with your friends ,💧,0,1,1,['https://pbs.twimg.com/card_img/1549440292906061824/zBalN_He?format=jpg&name=small'],https://twitter.com/DerekRobinson2/status/1548614339044966400
4179,Tim Wilson,@TimWilsonMP,2022-04-20T23:01:14.000Z,"Tim Wilson
@TimWilsonMP
·
Apr 21",2,its back from the framers  my ‘business  climate change toward net  emissionscertificate can sit next to my postgrad  the ggs  appointing me assistant min need to find carbon accounting one now turning into action  blue  kickstarted ausoffshore wind industry  ,📂,1178,172,65,['https://pbs.twimg.com/media/FQ0qE6-acAAx38F?format=jpg&name=small'],https://twitter.com/TimWilsonMP/status/1516914921057013767
3803,Paddy Gallagher,@pad_gal,2022-04-12T23:00:48.000Z,"Paddy Gallagher
@pad_gal
·
Apr 13",1,due to climate change the remake of snow white will be called slush grey…   ,,0,1,26,,https://twitter.com/pad_gal/status/1514015706702135301
246,Lee Evans,@LeeGrimesEvans,2022-01-22T22:32:12.000Z,"Lee Evans
@LeeGrimesEvans
·
Jan 22",1,yes ideally but if inclusion of hearing dental and vision care means build back better will go down to defeat again these should be postponed what we cant put off are crucial climate change measures in build back better cc   quote tweet jon cooper   · jan  should medicare include hearing dental and vision care ,,2,3,5,['https://pbs.twimg.com/profile_images/1546203790487044096/0uxO3Tc6_normal.jpg'],https://twitter.com/LeeGrimesEvans/status/1485017481450246152
2163,Ben Habib,@DrBenjaminHabib,2022-03-06T23:48:55.000Z,"Ben Habib
@DrBenjaminHabib
·
Mar 7",2,"looking forward to participating in this    event later this week with    and    ""exploring non traditional security challenges in the context of north korea and the impacts of climate change "" rusi org climate change and north korea the first in a series of events exploring non traditional security challenges in the context of north korea the discussion will focus on the impacts of climate change ",,0,3,5,['https://pbs.twimg.com/card_img/1547672165176070144/lKw3jpYz?format=jpg&name=small'],https://twitter.com/DrBenjaminHabib/status/1500619464018067456
4337,Alex is reading books,@LeftieAlex,2022-04-23T23:55:13.000Z,"Alex is reading books
@LeftieAlex
·
Apr 24",1,"replying to   i feel like there is a conversation to be had about how a lot of those tweets are less ""climate change is bad"" and more ""climate catastrophe is inevitable and theres nothing we can do and weve made no progress"" which is harmful  ",,2,0,10,,https://twitter.com/LeftieAlex/status/1518015668288995335
987,Robert Gaustad,@RMGaustad,2022-02-09T23:25:00.000Z,"Robert Gaustad
@RMGaustad
·
Feb 10",1,sometime after this event politicians will start working on the problem of climate change in other words after most of us are dead ,,1,4,9,['https://pbs.twimg.com/media/FLMQOqmVgAE9BWR?format=jpg&name=900x900'],https://twitter.com/RMGaustad/status/1491553748996354050
6536,Racing Extinction,@RacingXtinction,2022-06-12T21:46:43.000Z,"Racing Extinction
@RacingXtinction
·
Jun 12",2,multinational development banks that have pledged to align their lending with the paris agreement continue to pump tons of public money into industrial animal agriculture—ignoring warnings from the international panel on climate change (ipcc) foodtank com public development banks must stop financing factory farming investing in industrial livestock systems undermines both the paris agreement and the u n sustainable development goals ,,1,9,9,['https://pbs.twimg.com/card_img/1549692360543686657/rzaRGe0M?format=jpg&name=small'],https://twitter.com/RacingXtinction/status/1536102726127394816
3170,Grattan Institute,@GrattanInst,2022-03-28T22:28:21.000Z,"Grattan Institute
@GrattanInst
·
Mar 29",2,how climate change affects the federal budget  a new    explainer by    and     …   grattan edu au explainer how climate change affects the federal budget  grattan institute the biggest downside risk to the budget barely gets a mention this has to change ,,0,5,5,['https://pbs.twimg.com/card_img/1549293181342466049/VNjtKgrq?format=jpg&name=small'],https://twitter.com/GrattanInst/status/1508571721795661824
1813,Emma Kennedy,@reef_scientist,2022-02-27T22:45:54.000Z,"Emma Kennedy
@reef_scientist
·
Feb 27",1,when your government actively fund climate change through  billion of subsidies to assist fossil fuel industries then ask you to fundraise to clean up the consequences…   quote tweet peter dutton   · feb  the water hasnt gone down yet and we havent seen the full extent of the damage to our community due to catastrophic flooding we have started a fundraiser to help local residents and businesses who have been affected show this thread  ,,0,9,37,['https://pbs.twimg.com/profile_images/1220502005858258944/HLqjplDF_normal.jpg'],https://twitter.com/reef_scientist/status/1498066891985899529
8451,Farmers Guardian,@FarmersGuardian,2022-07-14T08:00:08.000Z,"Farmers Guardian
@FarmersGuardian
·
Jul 14",2,defra secretary george eustice has batted away concerns raised by the climate change committee (ccc) that agricultures progress on cutting emissions is ‘glacialfginsight com eustice bats away net zero failure concerns defra secretary george eustice has batted away concerns raised by the climate change committee (ccc) that agricultures progress on cutting emissions is ‘glacial,,0,0,0,['https://pbs.twimg.com/card_img/1549705558239973377/8z_eQpNV?format=jpg&name=360x360'],https://twitter.com/FarmersGuardian/status/1547491119549894657
3706,Paul Rudnick,@PaulRudnickNY,2022-04-10T23:38:16.000Z,"Paul Rudnick
@PaulRudnickNY
·
Apr 11",1,dear lord do we need any more proof of climate change   ,,38,97,785,['https://pbs.twimg.com/media/FQBSlDsWYAYFytF?format=jpg&name=small'],https://twitter.com/PaulRudnickNY/status/1513300362450685953
201,"Dr David Berger, aBsuRdiSTe cROnickLeR",@YouAreLobbyLud,2022-01-21T23:06:19.000Z,"Dr David Berger, aBsuRdiSTe cROnickLeR
@YouAreLobbyLud
·
Jan 22",1,"/ the aboriginals didnt get here then survive and thrive through drastic climate change in all the varied ecosystems of one of the most difficult environments on earth by going ""no thats too hard"" what has happened to us humans really what has happened ",,6,5,40,,https://twitter.com/YouAreLobbyLud/status/1484663677341302786
1216,Barry Tucker,@btckr,2022-02-14T21:03:22.000Z,"Barry Tucker
@btckr
·
Feb 14",1,join the dots rampant climate change partly due to unrestrained unplanned industrial  other development for profit capitalist societies wont control it but communist regimes might increasing frustration with democracies can you project from there ,,2,3,21,,https://twitter.com/btckr/status/1493330047595577345
1831,Australia Institute,@TheAusInstitute,2022-02-27T22:31:53.000Z,"Australia Institute
@TheAusInstitute
·
Feb 27",1,if you would prefer the coal and gas companies fuelling climate change to pay some of the costs of increasing floods rather than you add your support to a climate disaster levy on fossil fuel exports   …   ,,2,9,14,,https://twitter.com/TheAusInstitute/status/1498063364521480192
6524,PrawnusTheWoodGnome,@dee_k12201836,2022-06-12T21:44:22.000Z,"PrawnusTheWoodGnome
@dee_k12201836
·
Jun 12",1,replying to   yes all these illnesses caused by climate change not affecting the un strange isnt it ,⚒ 🌸 🌸 💉 🤔,3,5,68,,https://twitter.com/dee_k12201836/status/1536102133736648704
1929,CARICOM Secretariat,@CARICOMorg,2022-03-02T22:23:43.000Z,"CARICOM Secretariat
@CARICOMorg
·
Mar 2",2,the caribbean community climate change centre led discussions on the way forward to the next climate change conference cop  on day two of the rd inter sessional meeting of caricom heads of government in belize on wednesday    ,,0,19,36,['https://pbs.twimg.com/media/FM4GQ0hWUAYF8db?format=jpg&name=small'],https://twitter.com/CARICOMorg/status/1499148471500255232
8160,Bob Hill,@bobhillbrain,2022-07-12T07:07:48.000Z,"Bob Hill
@bobhillbrain
·
Jul 12",-1,radiative forcing of  from the copernicus reanalysis of atmospheric composition …  is the avumulative years of  gases emission  towards climate climatic html… we must stop it essd copernicus org radiative forcing of climate change from the copernicus reanalysis of atmospheric composition abstract radiative forcing provides an important basis for understanding and predicting global climate changes but its quantification has historically been done independently for different forcing ,,0,0,0,['https://pbs.twimg.com/card_img/1548354698364612608/-Yju_Fol?format=png&name=small'],https://twitter.com/bobhillbrain/status/1546753171690819585
4938,Greta Thunberg News,@great_thunberg,2022-05-07T23:19:34.000Z,"Greta Thunberg News
@great_thunberg
·
May 8",1,humans need to help other species face climate change scientists say   the washington post washingtonpost com humans need to help other species face climate change scientists say it will take different approaches to truly protect earths biodiversity the researchers write ,,0,3,14,['https://pbs.twimg.com/card_img/1548366362094886913/LYlX-kU1?format=jpg&name=small'],https://twitter.com/great_thunberg/status/1523080129517260801
5693,Crikey,@crikey_news,2022-05-24T23:45:00.000Z,"Crikey
@crikey_news
·
May 25",1,the labor party promised stronger action on climate change so allowing the offshore gas industry to continue on its merry way is not a good look crikey com au if labor wont shut offshore gas down it must tax it — and heavily the party promised stronger action on climate change so allowing the offshore gas industry to continue on its merry way is not a good look ,,5,3,9,['https://pbs.twimg.com/card_img/1548111498534199296/q9puestr?format=jpg&name=small'],https://twitter.com/crikey_news/status/1529247123014836224
7921,Extinction Rebellion,@ExtinctionR,2022-07-11T22:44:55.000Z,"Extinction Rebellion
@ExtinctionR
·
Jul 12",1,"""climate change is already causing immense human suffering and it will only cause more in the future if one reason to obey the law is to help prevent human misery then one reason to disobey it can also be to help prevent human misery "" theconversation com climate activism has so far been fairly peaceful heres why that might change global climate movements have espoused nonviolence but some are adopting more radical tactics in light of the increasing threats posed by climate change ",,14,100,270,['https://pbs.twimg.com/card_img/1548237740428259329/O06K-poW?format=jpg&name=small'],https://twitter.com/ExtinctionR/status/1546626619342815232
7680,Guy Pe'er,@GuyPeer3,2022-07-07T22:45:28.000Z,"Guy Pe'er
@GuyPeer3
·
Jul 8",1,/ with several interlinked crises going on  climate change biodiversity loss land degradation covid and a war it is strongly advisable for policymakers to listen to science rather than act haphazardly based on maladvice lets not spill oil on a slippery slope downhill ,,1,3,30,,https://twitter.com/GuyPeer3/status/1545177207441612810
5100,Financial Times,@FinancialTimes,2022-05-11T22:00:16.000Z,"Financial Times
@FinancialTimes
·
May 12",1,opinion blackrocks decision not to support most shareholder resolutions on climate change represents a big step back it in effect grants permission to other investors to relax their grip ft com blackrock taking foot off the pedal on climate change and resetting stakeholder capitalism the us fund manager has given itself a pass on knotty environmental issues   ,,3,18,30,['https://pbs.twimg.com/card_img/1549863924820021249/eZMGI3f7?format=jpg&name=small'],https://twitter.com/FinancialTimes/status/1524509721071394818
5183,The Real RANGE Magazine,@MagazineRange,2022-05-13T23:53:42.000Z,"The Real RANGE Magazine
@MagazineRange
·
May 14",-1,"cattle emissions are not a ""climate change"" driver but are good for the environment rangefire us cattle emissions are not a ""climate change"" driver but are good for the environment  rangefire cows are not the new coal — heres why opinion by joseph w mcfadden for   ",,1,7,12,['https://pbs.twimg.com/card_img/1549355661049401349/4xWyWNB8?format=jpg&name=small'],https://twitter.com/MagazineRange/status/1525263046343593986
4661,Ubaid,@uak7an,2022-04-30T22:41:43.000Z,"Ubaid
@uak7an
·
May 1",1,replying to    and   what are you doing about climate change apart from tweeting you just got the ministry did you make any plans anything you have planned to do nothing ,,0,0,0,,https://twitter.com/uak7an/status/1520533886723371008
2449,Toni,@ton_9613,2022-03-13T22:35:26.000Z,"Toni
@ton_9613
·
Mar 13",0,replying to   this is grad reminds me of this climate change graphics   ,,2,1,38,['https://pbs.twimg.com/media/FNw3wsLXIAEjmBg?format=jpg&name=900x900'],https://twitter.com/ton_9613/status/1503137690207854592
